Id,Designator,Footprint,Quantity,Designation,Supplier and ref,Column1,_1
1,R_CLR,RES_0.25watt_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,4.7k,,,
2,"R103,R102,R9,R1",RES_0.25watt_L3.6mm_D1.6mm_P7.62mm_Horizontal,4,1M,,,
3,"D3,D4",LED_D3.0mm,2,LED,,,
4,"D2,D1",D_DO-35_SOD27_P7.62mm_Horizontal,2,1N914,,,
5,"R10,R104,R105",RES_0.25watt_L3.6mm_D1.6mm_P7.62mm_Horizontal,3,10k,,,
6,C9,C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,1,3n3,,,
7,"C10,C1",C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,2,22n,,,
8,R8,RES_0.25watt_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,1k5,,,
9,"Q102,Q101,Q1",SOT-23_Handsoldering,3,J201,,,
10,C11,C_Rect_L7.2mm_W7.2mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,1,1u,,,
11,"R2,R7",RES_0.25watt_L3.6mm_D1.6mm_P7.62mm_Horizontal,2,1k,,,
12,U1,DIP-8_W7.62mm,1,OP07,,,
13,RV2,POT_16MM,1,DIST A100k,,,
14,RV3,POT_16MM,1,TONE A100k,,,
15,RV4,POT_16MM,1,VOLUME A100k,,,
16,RV1,POT_16MM,1,BLEND B100k,,,
17,SW1,DPDT.LUGS,1,SW_DPDT_x2,,,
18,C203,CP_Radial_D5.0mm_P2.50mm,1,47u,,,
19,R6,RES_0.25watt_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,270R,,,
20,"C102,C202",C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,2,100n,,,
21,C4,CP_Radial_D5.0mm_P2.00mm,1,2u2,,,
22,"J2,J1",SolderWire-0.25sqmm_1x04_P4.2mm_D0.65mm_OD1.7mm,2,Conn_01x04,,,
23,C3,C_CERAMIC_DISC_D3.0mm_W1.6mm_P2.50mm,1,100p,,,
24,"R3,R201",RES_0.25watt_L3.6mm_D1.6mm_P7.62mm_Horizontal,2,47R,,,
25,"R4,R5",RES_0.25watt_L3.6mm_D1.6mm_P7.62mm_Horizontal,2,560R,,,
26,R101,RES_0.25watt_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,10M,,,
27,C7,CP_Radial_D5.0mm_P2.50mm,1,10u,,,
28,C2,C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,1,1n,,,
29,"C6,C8,C5",CP_Radial_D5.0mm_P2.00mm,3,4u7,,,
30,C101,C_Rect_L7.2mm_W4.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,1,470n,,,
31,C201,CP_Radial_D5.0mm_P2.50mm,1,100u,,,
32,"R202,R203",RES_0.25watt_L3.6mm_D1.6mm_P7.62mm_Horizontal,2,100k,,,
33,SW2,SW_SPDT,1,SW_SPDT,,,
